TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
IND,IND @ HOU,8/12/20,W,48,108,40,100,40,11,31,35.5,17,22,77.3,12,42,54,25,15,15,7,25,4,99.1,95.4,3.7,62.5,1.67,16.4,80,53.4,49.2,109,53.2,0.455,0.22,13.8,0.295,0.465,0.326,18.3,0.2,25,20,13,46,20,11,10,32,69,31,53.7,11.1,30.6,12,15.7,23.1,42.6,58.6,41.4,72.7,27.3,62.5,37.5
PHI,PHI vs. TOR,8/12/20,L,48,121,39,84,46.4,17,40,42.5,26,33,78.8,9,38,47,27,17,9,10,29,-4,115.2,119,-3.8,69.2,1.59,19.1,72.7,48.5,61.4,105,49.7,0.565,0.393,16.2,0.208,0.544,0.444,11.4,0.273,6,3,12,34,21,22,13,42,52.4,47.6,36.4,8.3,42.1,9.9,21.5,5,28.1,50,50,94.1,5.9,69.2,30.8
TOR,TOR @ PHI,8/12/20,W,48,125,40,90,44.4,18,43,41.9,27,40,67.5,11,36,47,28,12,8,7,23,4,119,115.2,3.8,70,2.33,18.9,79.2,51.5,58.1,105,50.3,0.544,0.444,11.4,0.273,0.565,0.393,16.2,0.208,21,22,13,42,6,3,12,34,52.2,47.8,35.2,1.6,43.2,10.4,21.6,16.8,33.6,50,50,94.4,5.6,70,30
MIA,MIA @ OKC,8/12/20,L,48,115,42,86,48.8,14,42,33.3,17,20,85,6,34,40,24,12,14,2,23,-1,113.9,116,-2.1,57.1,2,18.2,66,43.4,60.7,100.5,52.7,0.57,0.233,11.9,0.174,0.528,0.303,16,0.34,18,8,11,42,13,20,8,36,51.2,48.8,48.7,12.2,36.5,9.6,14.8,15.7,36.5,42.9,57.1,85.7,14.3,57.1,42.9
DEN,DEN vs. LAC,8/12/20,L,48,111,43,87,49.4,13,35,37.1,12,19,63.2,9,33,42,33,12,4,3,19,-13,114.4,127.8,-13.4,76.7,2.75,23.6,82.5,50.6,58.2,97,45.8,0.569,0.218,12.4,0.234,0.624,0.271,8.2,0.175,7,17,10,52,22,9,11,42,59.8,40.2,54.1,7.2,35.1,9,10.8,6.3,46.8,70,30,92.3,7.7,76.7,23.3
OKC,OKC vs. MIA,8/12/20,W,48,116,39,89,43.8,16,42,38.1,22,27,81.5,14,36,50,20,16,7,4,19,1,116,113.9,2.1,51.3,1.25,14.5,82.6,56.6,57.5,100.5,47.3,0.528,0.303,16,0.34,0.57,0.233,11.9,0.174,13,20,8,36,18,8,11,42,52.8,47.2,39.7,8.6,41.4,6.9,19,11.2,31,34.8,65.2,75,25,51.3,48.7
SAC,SAC vs. NOP,8/11/20,W,48,112,43,88,48.9,11,26,42.3,15,16,93.8,14,31,45,27,21,4,6,22,6,109.8,103.9,5.9,62.8,1.29,18.6,78.6,55.7,58.9,102,50.7,0.551,0.182,20.6,0.348,0.555,0.232,18.6,0.214,14,12,8,54,23,12,12,62,70.5,29.5,57.1,8.9,29.5,7.1,13.4,12.5,48.2,53.1,46.9,90.9,9.1,62.8,37.2
BKN,BKN @ ORL,8/11/20,W,48,108,38,89,42.7,13,43,30.2,19,24,79.2,8,39,47,26,15,9,4,20,12,106.9,95,11.9,68.4,1.73,18.6,73.6,49.1,54.2,101,59.3,0.5,0.27,14.9,0.245,0.428,0.349,16.8,0.264,13,5,15,44,18,15,12,36,51.7,48.3,46.3,5.6,36.1,13.9,17.6,12,40.7,52,48,100,0,68.4,31.6
MIL,MIL @ WAS,8/11/20,W,48,126,44,87,50.6,18,38,47.4,20,28,71.4,9,44,53,25,15,6,0,26,13,116.7,105.6,11.1,56.8,1.67,17.4,76.3,53.3,63.4,107.5,58.7,0.609,0.322,13.9,0.25,0.474,0.316,10.3,0.237,8,10,19,48,18,14,4,38,56.3,43.7,41.3,3.2,42.9,15.1,15.9,6.3,38.1,30.8,69.2,94.4,5.6,56.8,43.2
PHX,PHX @ PHI,8/11/20,W,48,130,49,89,55.1,12,28,42.9,20,21,95.2,11,33,44,28,7,4,3,18,13,139.8,128.6,11.2,57.1,4,20.7,66.7,53.3,66.2,92,57.5,0.618,0.236,7.5,0.366,0.575,0.151,9.9,0.333,21,19,15,66,9,11,3,54,68.5,31.5,56.9,6.2,27.7,11.5,15.4,16.2,50.8,51.4,48.6,75,25,57.1,42.9
